0.48	0.22
0.49	0.23
0.5	0.24
0.51	0.25
0.52	0.26
0.53	0.27
0.54	0.28
0.55	0.29
0.55	0.3
0.56	0.31
0.57	0.32
0.58	0.33
0.59	0.34
0.6	0.35
0.6	0.36
0.61	0.37
0.62	0.38
0.63	0.39
0.64	0.4
0.65	0.41
0.65	0.42
0.66	0.43
0.67	0.44
0.68	0.45
0.69	0.46
0.69	0.47
0.7	0.48
0.71	0.49
0.72	0.5
0.73	0.51
0.73	0.52
0.74	0.53
0.75	0.54
0.76	0.55
0.77	0.56
0.77	0.57
0.78	0.58
0.65	0.65
0.66	0.65
0.67	0.64
0.68	0.64
0.69	0.63
0.7	0.63
0.71	0.62
0.72	0.62
0.73	0.62
0.74	0.61
0.75	0.61
0.76	0.6
0.77	0.6
0.78	0.59
0.79	0.59
0.33	0.57
0.34	0.58
0.35	0.58
0.36	0.58
0.37	0.58
0.38	0.59
0.39	0.59
0.4	0.59
0.41	0.59
0.42	0.6
0.43	0.6
0.44	0.6
0.45	0.6
0.46	0.61
0.47	0.61
0.48	0.61
0.49	0.61
0.5	0.62
0.51	0.62
0.52	0.62
0.53	0.63
0.54	0.63
0.55	0.63
0.56	0.63
0.57	0.64
0.58	0.64
0.59	0.64
0.6	0.64
0.61	0.65
0.62	0.65
0.63	0.65
0.64	0.65
0.25	0.46
0.26	0.47
0.27	0.48
0.27	0.49
0.28	0.5
0.29	0.51
0.3	0.52
0.3	0.53
0.31	0.54
0.32	0.55
0.33	0.56
0.24	0.45
0.25	0.44
0.26	0.43
0.27	0.42
0.28	0.41
0.29	0.4
0.3	0.39
0.31	0.38
0.32	0.37
0.33	0.36
0.34	0.35
0.35	0.34
0.36	0.33
0.37	0.32
0.38	0.31
0.39	0.3
0.4	0.29
0.41	0.28
0.42	0.27
0.43	0.26
0.43	0.25
0.44	0.24
0.45	0.23
0.46	0.22
0.47	0.21
