0.005	5.92593	6220.51	4.665e+07	-5.28096
0.015	5.92593	6220.51	4.665e+07	-5.28096
0.025	5.92593	6220.51	4.665e+07	-5.28096
0.035	5.92593	6220.51	4.665e+07	-5.28096
0.045	5.92593	6220.51	4.665e+07	-5.28096
0.055	5.92593	6220.51	4.665e+07	-5.28096
0.065	5.92593	6220.51	4.665e+07	-5.28096
0.075	5.92593	6220.51	4.665e+07	-5.28096
0.085	5.92593	6220.51	4.665e+07	-5.28096
0.095	5.92593	6220.51	4.665e+07	-5.28096
0.105	5.92593	6220.51	4.665e+07	-5.28096
0.115	5.92593	6220.51	4.665e+07	-5.28096
0.125	5.92593	6220.51	4.665e+07	-5.28096
0.135	5.92593	6220.51	4.665e+07	-5.28096
0.145	5.92593	6220.51	4.665e+07	-5.28096
0.155	5.92593	6220.51	4.665e+07	-5.28096
0.165	5.92593	6220.51	4.665e+07	-5.28096
0.175	5.92593	6220.51	4.665e+07	-5.28096
0.185	5.92593	6220.51	4.665e+07	-5.28096
0.195	5.92593	6220.51	4.665e+07	-5.28096
0.205	5.92593	6220.51	4.665e+07	-5.28096
0.215	5.92593	6220.51	4.665e+07	-5.28096
0.225	5.92593	6220.51	4.665e+07	-5.28096
0.235	5.92593	6220.51	4.665e+07	-5.28095
0.245	5.92593	6220.51	4.665e+07	-5.28094
0.255	5.92593	6220.51	4.665e+07	-5.28092
0.265	5.92593	6220.51	4.665e+07	-5.28088
0.275	5.92593	6220.51	4.665e+07	-5.28081
0.285	5.92593	6220.51	4.665e+07	-5.28069
0.295	5.92593	6220.51	4.665e+07	-5.28049
0.305	5.92593	6220.51	4.665e+07	-5.28018
0.315	5.92593	6220.51	4.665e+07	-5.27971
0.325	5.92593	6220.51	4.665e+07	-5.27902
0.335	5.92593	6220.51	4.665e+07	-5.27804
0.345	5.92593	6220.51	4.665e+07	-5.2767
0.355	5.92593	6220.51	4.665e+07	-5.27493
0.365	5.92593	6220.51	4.665e+07	-5.27263
0.375	5.92593	6220.51	4.665e+07	-5.26974
0.385	5.92593	6220.51	4.665e+07	-5.26621
0.395	5.92593	6220.51	4.665e+07	-5.26199
0.405	5.92593	6220.51	4.665e+07	-5.25705
0.415	5.92593	6220.51	4.665e+07	-5.25142
0.425	5.92593	6220.51	4.665e+07	-5.24509
0.435	5.92593	6220.51	4.665e+07	-5.23813
0.445	5.92593	6220.51	4.665e+07	-5.23058
0.455	5.92593	6220.51	4.665e+07	-5.22251
0.465	5.92593	6220.51	4.665e+07	-5.214
0.475	5.92592	6220.52	4.66499e+07	-5.20511
0.485	5.92591	6220.52	4.66498e+07	-5.19592
0.495	5.92588	6220.54	4.66495e+07	-5.18648
0.505	5.92583	6220.57	4.66489e+07	-5.17686
0.515	5.92571	6220.63	4.66476e+07	-5.16709
0.525	5.92549	6220.75	4.66452e+07	-5.15723
0.535	5.92508	6220.99	4.66406e+07	-5.14728
0.545	5.92434	6221.4	4.66325e+07	-5.13728
0.555	5.92306	6222.12	4.66183e+07	-5.12728
0.565	5.92093	6223.31	4.65949e+07	-5.11728
0.575	5.91754	6225.21	4.65576e+07	-5.10728
0.585	5.91264	6227.96	4.65036e+07	-5.09728
0.595	5.90922	6229.88	4.6466e+07	-5.08728
0.605	5.9083	6230.4	4.64558e+07	-5.07728
0.615	5.90841	6230.34	4.6457e+07	-5.06728
0.625	5.90949	6229.73	4.64689e+07	-5.05728
0.635	5.91256	6228	4.65028e+07	-5.04728
0.645	5.9187	6224.56	4.65704e+07	-5.03728
0.655	5.9288	6218.9	4.66816e+07	-5.02728
0.665	5.94057	6212.32	4.68114e+07	-5.01728
0.675	5.94671	6208.88	4.68792e+07	-5.00728
0.685	5.94884	6207.69	4.69028e+07	-4.99728
0.695	5.94914	6207.53	4.6906e+07	-4.98728
0.705	5.94878	6207.73	4.6902e+07	-4.97728
0.715	5.94738	6208.5	4.68867e+07	-4.96729
0.725	5.94447	6210.13	4.68546e+07	-4.9573
0.735	5.93984	6212.67	4.68036e+07	-4.94732
0.745	5.93528	6215.37	4.67532e+07	-4.93735
0.755	5.93256	6216.91	4.67231e+07	-4.92738
0.765	5.93078	6217.74	4.67036e+07	-4.91741
0.775	5.92955	6218.31	4.66902e+07	-4.90745
0.785	5.9286	6218.85	4.66797e+07	-4.89748
0.795	5.92772	6219.42	4.66698e+07	-4.88752
0.805	5.92675	6220.05	4.6659e+07	-4.87757
0.815	5.92542	6220.88	4.66442e+07	-4.86761
0.825	5.92325	6222.15	4.66204e+07	-4.85766
0.835	5.91954	6224.25	4.65798e+07	-4.84772
0.845	5.9133	6227.71	4.65112e+07	-4.83778
0.855	5.90328	6233.22	4.64011e+07	-4.82787
0.865	5.88808	6241.63	4.6234e+07	-4.81798
0.875	5.86625	6253.81	4.59944e+07	-4.80814
0.885	5.83655	6270.56	4.5669e+07	-4.79834
0.895	5.79805	6292.49	4.52484e+07	-4.78862
0.905	5.75037	6319.85	4.4729e+07	-4.77898
0.915	5.69364	6352.62	4.41134e+07	-4.76944
0.925	5.62857	6390.46	4.34102e+07	-4.76002
0.935	5.55624	6432.85	4.26323e+07	-4.75071
0.945	5.47794	6479.16	4.17949e+07	-4.74154
0.955	5.39501	6528.75	4.09128e+07	-4.73251
0.965	5.30862	6581.02	3.99996e+07	-4.72363
0.975	5.21975	6635.54	3.90659e+07	-4.71489
0.985	5.12916	6691.96	3.81202e+07	-4.70631
0.995	4.99125	6779.85	3.66913e+07	-4.69791
